player_id,player_name,round,predicted_points
355,Greenwood,12,0.0
208,Koleosho,12,0.0
206,Edwards,12,0.0
204,Churlinov,12,0.0
203,Boateng,12,0.0
75,Akinmboni,12,0.0
172,Watson,12,0.0
652,Gonzalez,12,0.0
313,Sherif,12,0.0
312,Y.Chermiti,12,0.0
334,Harris,12,0.0
333,Godo,12,0.0
327,Andreas,12,0.0
323,Amissah,12,0.0
346,Byram,12,0.0
345,Bornauw,12,0.0
340,Cairns,12,0.0
339,Meslier,12,0.0
737,Kusi-Asare,12,0.0
171,Sarmiento,12,0.0
364,Mateo Joseph,12,0.0
363,Bamford,12,0.0
383,Luis Díaz,12,0.0
380,Ramsay,12,0.0
379,R.Williams,12,0.0
378,Nallo,12,0.0
377,Tsimikas,12,0.0
658,Fraser,12,0.0
235,Palmer,12,0.0
234,Anselmino,12,0.0
231,M.Sarr,12,0.0
360,Gelhardt,12,0.0
227,Colwill,12,0.0
223,Slonina,12,0.0
222,Penders,12,0.0
71,Zabarnyi,12,0.0
70,Paulsen,12,0.0
69,McKenna,12,0.0
349,Schmidt,12,0.0
664,Lecomte,12,0.0
336,Reed,12,0.0
244,Lavia,12,0.0
361,Gyabi,12,0.0
229,B.Badiashile,12,0.0
286,Marsh,12,0.0
285,Édouard,12,0.0
284,Nketiah,12,0.0
309,Metcalfe,12,0.0
308,Heath,12,0.0
307,Ebere,12,0.0
306,Bates,12,0.0
305,Armstrong,12,0.0
68,Dennis,12,0.0
66,Neto,12,0.0
219,Obafemi,12,0.0
251,N.Jackson,12,0.0
277,Ebiowei,12,0.0
275,Ahamada,12,0.0
79,Mepham,12,0.0
78,J.Araujo,12,0.0
76,Bevan,12,0.0
687,Rees-Dottin,12,0.0
274,Agbinone,12,0.0
268,Doucouré,12,0.0
290,Branthwaite,12,0.0
289,Tyrer,12,0.0
288,Travers,12,0.0
278,J.Rak-Sakyi,12,0.0
248,Paez,12,0.0
247,D.Essugo,12,0.0
625,Füllkrug,12,0.0
245,Mudryk,12,0.0
99,Adu-Adjei,12,0.0
96,Winterburn,12,0.0
95,Silcott-Duberry,12,0.0
94,Sadi,12,0.0
93,H.Traorè,12,0.0
115,Fredrick,12,0.0
667,Aznou,12,0.0
690,Cardines,12,0.0
92,Faivre,12,0.0
91,Sinisterra,12,0.0
